Company Name,Stock Name,Filing Time,New Product,Product Description
Rolls-Royce Holdings plc,R Rolls,2023-04-12T11:59:15-04:00,Power system for the new 65-foot ferry vessel called MSV Lofoten.,A sustainable and efficient power solution to reduce emissions from vessels.
Renaissance Gaming Limited,ROL,2024-04-24T16:07:08-04:00,DreamSaver 2.0,Enhanced gaming headset with advanced noise-cancellation and immersive audio technology.
Roland Technologies Inc.,ROL,2024-02-14T16:07:12-05:00,SmartSight X3,Advanced AR software for smart glasses
Rolls-Royce Holdings plc,RLLY,2023-10-25T17:18:14-04:00,Powerflex HX,Powerflex HX is a new diesel engine technology
Shopify Inc.,SHOP,2023-09-11T16:26:33-04:00,Shopify Plus for e-commerce businesses,Cloud-based platform offering custom web stores and advanced e-commerce features
Rolls-Royce Holdings plc,RRC,2023-04-26T17:08:15-04:00,Powerflex,Electric powertrain for heavy-duty applications
Royal Pharmaceuticals Inc.,ROP,2025-01-30T07:03:10-05:00,Revive,Revive: a new oral medication for the treatment of chronic pain.
Roper Technologies Inc.,ROP,2024-11-07T16:10:53-05:00,Enhanced Diagnostic Solution,Advanced imaging capabilities for medical professionals.
Rocket Lab Holdings, Inc.,ROP,2024-08-21T14:25:59-04:00,Electro-Optical Payload for Global Maritime Surveillance,A new electro-optical payload designed to enhance maritime surveillance capabilities.
Roper Industries, Inc.,ROP,2024-07-24T07:02:24-04:00,Spiral Ladder with Integrated LED Lighting for Construction Industry,Enhanced ladder provides improved safety and visibility on job sites.
Roper Technologies Inc.,ROP,2023-04-27T07:04:39-04:00,Nanotech Sensors for Remote Health Monitoring,Non-invasive, wearable sensors for monitoring vital signs and detecting health anomalies.
Roper Technologies Inc.,ROP,2022-12-15T16:35:57-05:00,SmartScan Pro,Handheld scanner for scanning barcodes and RFID tags.
Razer Inc.,ROST,2024-08-22T16:02:21-04:00,Kraken X7 Wireless Gaming Headset,Next gen wireless gaming headset with advanced 3D audio and long-lasting battery life.
Rocket English, Inc.,ROST,2024-05-23T16:04:06-04:00,English Mastery Platform for Kids,AI-driven language learning app
Razer Inc.,ROST,2024-01-31T16:16:29-05:00,Razer Blade Stealth 13,Thin and light 13-inch ultraportable PC with AMD Ryzen 9 processor
Roost Energy Inc.,ROST,2023-08-31T16:15:38-04:00,Smart Thermostat,Introducing Smart Thermostat, a next-gen thermostat that learns your schedule and preferences to optimize energy usage.
Rostar Corp.,ROST,2023-05-18T16:02:41-04:00,Revive,Portable oxygen generator for outdoor enthusiasts.
Restaurant Brands International Inc.,ROST,2023-02-28T16:06:50-05:00,Panera Clean 15‖ Panera’s New Coffee Shop Concept for the Younger Generation,A new coffee shop concept targeting younger generations.
Rostar Entertainment Inc,ROST,2022-12-20T16:15:32-05:00,Starlight 3D VR Headset,Advanced VR gaming headset with 3D visuals
Redbox Kiosks, LLC,RCL,2024-10-29T06:33:03-04:00,Redbox Express,Redbox Express is a new service that allows customers to pick up their movie rentals using the contactless, mobile payment-enabled Redbox Express kiosks.
Redwood Trust, Inc.,RWT,2024-03-07T16:40:31-05:00,Green Bond Program for 2024,A new green bond program to support environmental sustainability projects
SPIMETICS, Inc.,SPGI,2024-10-15T08:31:43-04:00,NexGen Insulin Pump,A new type of insulin pump with advanced features for better diabetes management.
S&P Global Inc.,SPGI,2024-05-06T16:53:47-04:00,S&P GMI Q2 2024,Revised quarterly earnings per share guidance due to changes in underlying assumptions about S&P Global Inc.
Sanderson Farms Inc,SBAC,2025-02-24T16:18:31-05:00,All American Rooster,A new all-American rooster variety, bred in-house for improved egg production and meat quality.
SBAC,SBAC,2024-01-25T16:52:56-05:00,SBAC-101,Novel vaccine technology for COVID-19 treatment
Shopify Inc.,SHOP,2023-11-02T16:10:01-04:00,Shopify One,A new cloud-based platform for businesses to manage their operations and supply chains.
SBAC Technologies Inc.,SBAC,2023-09-13T14:11:07-04:00,Aximo X5 Pro Series,High-performance gaming laptops with advanced cooling systems and AI-powered graphics processing
Sandvik AB,SBAC,2023-05-25T17:00:44-04:00,Sandvik Mining and Rock Solutions announces new wear-resistant steel alloy,A new high-strength, low-alloy (HSLA) material designed to increase the life of mining equipment
Biocept Technologies Inc.,BIOCEP,2023-05-01T16:13:15-04:00,Celident Tissue Profiler,A liquid biopsy platform to detect cancer biomarkers in circulating blood cells.
Smith & Brown Chemicals Inc.,SBAC,2023-03-31T17:03:00-04:00,BioShield 360,A broad-spectrum antimicrobial coating for consumer goods and healthcare applications.
SLB,SLB,2024-04-02T21:05:02-04:00,SLB Announces Completion of Subsea Completions Services for Equinor’s Amundsen Project., completion of subsea completions services
SHELL OIL COMPANY, INC.,SLB,2023-05-15T16:18:21-04:00,Eclipse · Smart· Drilling· Control System,Advanced drilling control system for improved safety and efficiency
STX,STX,2025-01-21T16:08:30-05:00,STX's new battery technology,A breakthrough battery design for electric vehicles and renewable energy systems
STX Entertainment Group Inc.,STX,2023-10-24T17:49:24-04:00,STX's new movie,upcoming film
Spectra Energy Corp,SRE,2024-11-21T16:05:35-05:00,Ultra HD+ 700A,High-efficiency, ultra-high-definition (UHD+) LED lighting solution
Sarett Biologics Inc.,SRBI,2024-09-13T16:17:10-04:00,Sarett-100,Nirsevit(TM) 100mg capsules for treatment of moderate to severe acne vulgaris in adults and adolescents.
SARES Group Inc,SRE,2024-03-22T16:03:07-04:00,Epiq Systems Acquisition,Acquisition of Epiq Systems
SRE,SRE,2024-03-19T16:21:09-04:00,Project Fi 5G,Expanded 5G network capabilities for Project Fi customers.
Alphabet Inc.,GOOGL,2024-10-23T16:11:14-04:00,Google Pixel 8 Pro,New flagship smartphone featuring improved camera capabilities and AI-driven performance
NVIDIA Corporation,NVDA,2024-04-24T16:11:12-04:00,Ada Lovelace AI-Powered Graphics Card,A new graphics card designed for AI-accelerated computing and gaming
NVIDIA Corporation,NVDA,2024-01-24T16:11:38-05:00,Ampere GPU Accelerator for AI Workloads,Accelerates AI and deep learning workloads
Apple Inc.,AAPL,2023-07-26T16:11:12-04:00,AirPods Pro (2nd Generation),Enhanced wireless earbuds with improved sound quality and new colors.
NOVATO Therapeutics Inc.,NVTR,2023-01-25T16:13:10-05:00,NANOTRACKER TECHNOLOGY FOR ENZYME DELIVERY,Novato Therapeutics to Present Nanotracker Technology for Enzyme Delivery at the American Association of Cancer Research (AACR) Annual Meeting
Spectra Pharmaceuticals, Inc.,SHW,2025-02-18T06:45:18-05:00,Spectra Pharmaceuticals Announces New Treatment Option for Rare Genetic Disorder,New oral treatment targeting a rare genetic disorder with improved efficacy and safety profile.
Shaw Communications Inc.,SFWA,2025-01-30T07:03:54-05:00,Ultra HD 8K Service,Enhanced high-definition television service with improved color and brightness
SHW,SHW,2024-11-14T16:16:53-05:00,Spectra-CL 360,Low-pressure sodium vapor lamp
Shopify Inc.,SHOP,2023-10-24T07:04:46-04:00,Shopify Invests in and Partners with Startup to Develop Autonomous Delivery Service,Autonomous delivery service for faster, more efficient shipping
SP Global Enterprises Inc.,SPG,2024-05-06T16:09:56-04:00,New Electric Vehicle Model,SP Global Enterprises Inc. announced the launch of its new electric vehicle model, the SP Global EV, designed for sustainable mobility.
SP Global Enterprises Inc,SPG,2024-02-05T16:09:02-05:00,Quantum Computing System,Next-generation quantum computing platform for AI and machine learning applications.
SP Global Enterprises Inc.,SPG,2024-01-09T16:45:02-05:00,Olive Garden's new flatbread pizzas,new menu offerings
SP Global Solutions Inc.,SPG,2023-10-30T16:07:32-04:00,Cryogenic Equipment,Enhanced cryogenic tank for industrial applications
SP Global Group Inc.,SPG,2023-05-02T16:07:58-04:00,SP Global’s Lithium-Ion Battery Technology for Electric Vehicles,A new battery technology designed to improve electric vehicle range and efficiency
Apple Inc.,AAPL,2025-02-06T16:05:37-05:00,Apple AirPods Pro (3rd Generation),Enhanced audio and new design
Apple Inc.,AAPL,2022-10-24T13:59:44-04:00,iPhone 14 Pro Max,New iPhone with improved camera and display
Apple Inc.,AAPL,2024-12-13T16:07:45-05:00,Neck Mac Pro,next-generation professional display and productivity workstation
Apple Inc.,AAPL,2024-11-12T16:03:47-05:00,Apple M2 Max Chip,High-performance system-on-a-chip for Mac computers and laptops
Apple Inc.,AAPL,2024-07-30T16:03:46-04:00,iPhone 15 Pro Max,High-end smartphone with improved camera and performance
Apple Inc.,AAPL,2024-01-30T16:03:50-05:00,iPhone 15 Pro,Latest flagship smartphone with advanced camera system and A17 Bionic chip
Cirrus Logic Inc.,SWKS,2023-12-15T16:12:17-05:00,AC97 Audio Codec,New AC97 audio codec designed for PC gaming and esports applications
Apple Inc.,AAPL,2023-11-02T16:03:16-04:00,AirPods Pro (2nd generation),Next-generation AirPods Pro with enhanced active noise cancellation and improved audio quality.
Apple Inc.,AAPL,2022-08-19T14:01:00-04:00,iPhone 14 series,New iPhone models with enhanced cameras and displays
Apple Inc.,AAPL,2023-05-16T17:00:39-04:00,Reality Pro 1 Pro,Augmented Reality Glasses
Cirrus Logic,SWKS,2023-02-09T16:39:36-05:00,UltraScale+ I2S/ SPI/ I2C/ ADC, and PCIe,High performance audio codec
SJM,SJM,2024-08-15T16:15:58-04:00,Jumbo King Lobster Tails,expansion of frozen seafood products
SJM,SJM,2024-01-24T07:01:01-05:00,NeuroCore,A new neurostimulation device for chronic pain management.
Siemens AG,SJM,2023-09-27T18:35:59-04:00,WindPower 4.0,New software framework for wind turbines
SW,SW,2024-11-27T07:30:13-05:00,Vivify X1 Smart Glasses,Vivify X1 is a smart glasses platform designed for enterprise and consumer use cases, offering advanced augmented reality capabilities.
SWBIO,SW,2024-08-09T06:32:28-04:00,BioShield Plus,New bio-based coating
SNA Kappa Foods Inc.,SNA,2024-10-17T06:42:22-04:00,New Product: Kappas, a line of plant-based meat alternatives,Kappas offer a variety of flavors and are free from common allergens like nuts, dairy and soy.
SNA Inc.,SNA,2024-07-18T06:35:21-04:00,Nordic Naturals,Expansion of Nordic Naturals product portfolio
Snapper Holdings Inc.,SNA,2024-04-18T06:34:50-04:00,Smart Sprinkler System,A Wi-Fi enabled sprinkler system that adjusts watering schedules based on weather and soil conditions.
SNAKO Inc.,SNAK,2024-02-22T17:00:52-05:00,Smart Vision Analyzer,AI-powered diagnostic tool for eye diseases
Sysco Corporation,SNA,2023-09-12T17:38:51-04:00,SmartFresh Pro,A new smart refrigeration system designed to improve food freshness and reduce waste
Solovis Inc.,SOLV,2025-02-27T16:12:55-05:00,SolvoShield,Advanced cybersecurity solution for enterprise networks.
SOLV Energy Inc.,SOLV,2024-11-07T16:14:31-05:00,Omnicharge 2.0,Advanced portable power solution
SOLV Energy Solutions Inc.,SOLV,2024-09-26T17:27:19-04:00,EcoPulse Smart Home Battery,A high-capacity, AI-powered home battery for optimized energy storage and management.
SOLV Industries Inc.,SOLV,2024-05-09T06:50:29-04:00,SolvoClean 2.0,Enhanced cleaning technology for industrial applications.
SOLV,SOLV,2024-04-16T16:35:51-04:00,X1 Carbon Refurbished,Refurbished 13-inch X1 Carbon ultrabook with 8th Gen Intel Core i5 processor, 256GB SSD, and 3-year warranty.
Solv Energy Inc.,SOLV,2024-03-13T17:12:37-04:00,SolarCharge,Portable solar-powered energy storage system
Sonoco Products Company Inc.,SON,2025-02-20T08:13:08-05:00,BioThane,A new, sustainable packaging material
Sofinn Biodecology Ltd.,SOFN.BF,2023-12-07T11:17:38-05:00,Biologic-based Solution for Rare Disease,A novel biologic treatment for a rare genetic disorder
SOX Inc.,SOX,2025-02-11T13:36:08-05:00,Revolution RX,Artificial intelligence-powered diagnostic tool for rare diseases
UnitedHealth Group Incorporated,UNH,2024-10-31T08:15:07-04:00,UnitedHealthcare Medicare Advantage Plus 2.0,Enhanced benefits and services for Medicare beneficiaries.
Biogen Inc.,BIIB,2024-09-06T16:01:00-04:00,Larazotide Acudor for Multiple Sclerosis,New treatment option for relapsing multiple sclerosis
Oxford Nanopore Technologies plc,ONP,2023-06-27T13:00:00-04:00,MinION NextGen Sequencing System,High-throughput sequencing platform with improved accuracy and speed.
Sarepta Therapeutics, Inc.,SRPT,2024-05-13T08:33:14-04:00,vibrexysol,vibrexysol is an antisense oligonucleotide designed to treat familial hypercholesterolemia
Berkshire Hathaway Inc.,BRK.A,2024-05-09T14:38:19-04:00,Circa 1922 Premium Cigarettes,A new line of premium cigarettes with a focus on unique flavors and packaging
Micron Technology, Inc.,MU,2022-08-01T14:00:00-04:00,OptanOS 5,High-bandwidth data center storage solution
SO-TECH INC.,SO,2024-02-28T15:14:14-05:00,Quantum Dot Display for Smartphones,Next-gen display technology increasing brightness and color accuracy.
SOXO Inc.,SOXO,2024-02-15T08:16:21-05:00,SmartWater 2.0,Enhanced hydration technology and eco-friendly packaging
Delta Air Lines, Inc.,LUV,2025-02-18T06:09:46-05:00, Delta Air Lines Announces New Sustainable Aviation Fuel,Delta Air Lines is pleased to announce its new sustainable aviation fuel, which will be used in select aircraft
Southwest Airlines Co.,LUV,2025-01-30T06:30:32-05:00,New 737 MAX 9 Aircraft Order,Order for up to 40 new 737 MAX 9 aircraft
Southwest Airlines Co.,LUV,2025-01-10T06:10:19-05:00,Airbus A321neo,Order for 18 additional A321neos
Delta Air Lines, Inc.,LUV,2024-11-07T16:34:53-05:00,Ultra Low-Cost Carrier Service,A new ultra low-cost carrier service, similar to Spirit Airlines.
American Airlines Group Inc.,LUV,2024-09-26T06:54:01-04:00,CARGO JET ACROSS THE PACIFIC,Cargolux's new 747-8 cargo aircraft, powered by General Electric CFM LEAP-XL engines, designed to carry larger, heavier loads over the Pacific
Stryker Corporation,SWK,2024-10-22T17:46:00-04:00,Cervical Spine Fracture Fixation System,new orthopedic product for treating cervical spine fractures
Smith & Wesson Corp.,SWK,2024-07-26T08:39:28-04:00,Cor-Bon Defender,A new law enforcement and concealed carry handgun
Smith & Wesson Corp.,SWK,2024-01-24T20:42:03-05:00,M&P9 Shield 2.0,Updated design with enhanced safety features and improved accuracy.
SWK,SWK,2023-10-24T16:47:30-04:00,SWAT KIT 2.0,Enhanced tactical gear with advanced materials and design
Stryker Corporation,SWK,2023-10-12T17:04:59-04:00,Aurora Spine System,New spinal implant technology for treating complex spine conditions
Stryker Corporation,SWK,2023-09-08T16:01:52-04:00,CorFlex Total Knee System with Enhanced Stability Features,New total knee system with enhanced stability features.
Starbucks Corporation,SBUX,2025-01-28T16:08:03-05:00,Mobile Order & Pay Upgrade,Enhanced mobile ordering and payment capabilities for Starbucks Reserve products.
Starbucks Corporation,SBUX,2024-10-30T16:07:42-04:00,Revamped S'Well Refillery Program,a redesigned water refill program
Starbucks Corporation,SBUX,2024-01-09T16:26:57-05:00,Cold Foam Machine,New cold foam machine designed for baristas to create consistent and high-quality foams
Sprint Corporation,S,2020-04-14T15:13:00-05:00,Ultra Mobile,Nationwide wireless service with 5G capabilities
STT Inc.,STT,2025-02-05T16:10:49-05:00, STT-1000 Smart Bike Helmet,Advanced AI-powered safety features and voice assistant integration
STT Industries Inc,STT,2024-07-23T16:16:05-04:00,Soft-Touch Technology,Advanced textile technology for improved comfort and durability in industrial settings
STT Industries Inc.,STT,2024-04-12T07:30:53-04:00,SmartTruck Pro,An AI-powered fleet management solution for commercial trucking industry.
STEMER Systems Inc.,STE,2023-02-27T14:30:00-05:00,STORM,A cloud-based platform for remote work management
STMicroelectronics,STM,2023-05-03T17:21:00-04:00,Neuromorphic microcontroller,First neuromorphic microcontroller with advanced synaptic learning capabilities for edge AI applications.
STE,STE,2022-11-09T16:35:33-05:00,STE Gene Therapy Platform,New gene therapy platform for genetic disorders
Stryker Corporation,SYK,2025-02-27T16:30:29-05:00,Stryker 410 Elite Total Knee System,Total knee replacement system designed for orthopedic surgeons.
Stryker Corporation,SYK,2025-02-10T16:17:43-05:00,Orthopedic Spine System,A new orthopedic spine system for treating spinal deformities
Sequenom Incorporated,SQNS,2025-02-10T16:15:23-05:00,SeqTest V2,Next-generation diagnostic sequencing platform
Stryker Corporation,SYK,2025-01-28T16:33:28-05:00,ION 360 Bariatric System with Enhanced Navigation,A new bariatric system featuring advanced navigation technology for improved patient outcomes.
Sikorsky Aircraft Corporation,SAHLY,2023-12-22T15:35:04-05:00,M-S5 Air Taxi System,Next-generation air taxi system with autonomous capabilities.
Stryker Corporation,SYK,2024-10-29T16:09:59-04:00,Corflex Cervical,Stryker announces the launch of Corflex Cervical, a novel cervical spine technology designed to provide improved stability and flexibility.
Stryker Corporation,SYK,2024-04-30T16:11:52-04:00,Mako Xiom 2.0 Surgical System,Advanced surgical system with enhanced precision and accuracy
Stryker Corporation,SYK,2023-08-03T16:12:11-04:00,Stryker Orthopedic Extender,Extendable surgical instruments for orthopedic procedures.
Sikorski Inc.,SYK,2023-05-01T16:10:02-04:00,Stryker ikonik Tibia and Fibula Implants,Implants designed to provide improved durability and stability in lower extremity orthopedic surgeries
SMC Corporation,SMCI,2025-02-11T16:25:08-05:00,SMCI 300 Series Power Supplies,High-efficiency power supplies for data center applications
Smith Micro Software, Inc.,SMCI,2024-12-06T17:06:30-05:00,SMC Connect v6.1,Enhanced communication and collaboration capabilities
SMCI,SMCI,2024-12-02T09:08:13-05:00,Smartphone 23,Next-generation smartphone with advanced AI capabilities and 5G connectivity.
Smith Micro Software, Inc.,SMCI,2024-11-26T16:08:58-05:00,SoftFlow SDK 2.0,Enhanced software development kit for IoT applications
Sensio Health Technologies Inc.,SMCI,2024-11-20T16:08:53-05:00,Nanotech-based Wound Care Gel,A new gel for treating wounds, featuring nanotechnology
Smith Micro Software Inc.,SMCI,2024-11-18T17:04:17-05:00,Screen Recorder Pro 3.0,Enhanced screen recording and streaming capabilities
Spectrum Pharmaceuticals Inc.,SMCI,2024-11-01T16:10:25-04:00,Bispecific Monoclonal Antibody,Targeting BCL2 and BIR6 Protein
SMC Corporation,SMCI,2024-10-30T08:51:52-04:00,SMC FlexiPulse 2.0,A high-performance, AI-powered motor control system for industrial automation.
SMC Corporation,SMCI,2024-09-30T17:12:17-04:00,SMC Smart Home Automation System,AI-powered smart home system for energy efficiency and convenience
SmileDirectClub Inc.,SMCI,2024-09-03T09:01:18-04:00,ClearVue Smart Glasses,Smart glasses with augmented reality display and telemedicine capabilities
Smith Micro Software, Inc.,SMCI,2024-08-19T09:09:54-04:00,AirDroid Business 6.1,Enhanced collaboration features for businesses
SMC Corporation,SMCI,2024-07-22T09:01:25-04:00,SMC Air Quality Monitoring System,A comprehensive air quality monitoring system for residential and commercial use, featuring advanced sensors and real-time data analytics.
Social Capital Holdings Corp.,SYF,2025-01-28T06:00:35-05:00,Social Impact Platform,A new platform to amplify social impact through digital tools and resources.
Synchrony Financial, Inc.,SYF,2024-12-09T17:44:00-05:00,Synchrony Credit Secured Trust Fund II, LLC,Private trust fund to provide liquidity for certain CCOs
Symantec Corporation,SYF,2024-08-14T17:50:40-04:00,Symantec Endpoint Protection,Enhanced endpoint security solution
Synchrony Financial, Inc.,SYF,2024-06-13T16:40:43-04:00,Home Insurance,Expansion of Home Guard protection services
Sillimanetics Corporation,SNPS,2024-12-04T16:30:54-05:00,SpectraClean Technology, Revolutionary cleaning solution for advanced electronics
Synopsys Inc.,SNPS,2024-05-06T09:05:37-04:00,Spectral Suite v0.9.0 release for System Verification Environment (SVE),Improvements and new features for system verification environment, including support for RISC-V architecture.
Synopsys Inc.,SNPS,2024-03-25T16:01:56-04:00,DesignWare,Synopsys to Demonstrate Latest DesignWare IP at 2024 Design Automation Conference
SNPS,SNPS,2024-02-14T16:48:14-05:00,TrueVue 3.0,Advanced color science and display technology
Sycamore Logistics Inc.,SYY,2023-11-20T17:00:55-05:00,XpressFreight,Expanded capacity and route network for expedited freight services.
SYY,SYY,2023-10-17T08:00:44-04:00,New Product X,New product for improved performance.
Sicbo Inc.,SYY,2023-09-22T17:04:10-04:00,NexGen,NexGen is a new line of sustainable energy storage solutions
Verizon Communications Inc.,VZ,2025-03-21T16:13:21-04:00,5G Ultra Wideband Network Expansion,expansion of 5G network to additional markets and customers
Verizon Communications Inc.,VZ,2023-02-20T14:00:00-05:00,5G Ultra Wideband Network Expansion,Expandition of 5G network to new markets
Verizon Communications Inc.,VZ,2025-02-11T16:47:31-05:00,Enhanced 5G Network,Expanded 5G coverage and speed enhancements across the US.
AT&T Inc.,TMUS,2024-10-23T16:05:04-04:00,5G Fixed Wireless Broadband Service,Expands 5G services to fixed wireless broadband customers
AT&T Inc.,TMUS,2024-09-18T14:02:33-04:00,5G Ultra Wideband Network Enhancements,Enhancements to our 5G network, expanding coverage and capacity in key markets.
Verizon Communications Inc.,VZ,2024-06-14T16:02:07-04:00,5G Ultra Wideband Network Expansion,Verizon to expand its 5G network coverage to more customers and areas.
Brown & Williamson Tobacco Corp.,TROW,2010-03-23T12:42:45-04:00,Nicorette Gum with Nicotine Polacare 3.8% ,A new nicotine replacement therapy product.
T. Rowe Price Group Inc.,TROW,2023-05-12T11:05:17-04:00,QuantConnect,Quantitative Trading Platform for Cloud-Based Computing
Netflix, Inc.,NFLX,2024-11-06T16:15:50-05:00,Benchwarmongers,a new original series based on the novel of the same name by Josh Stallion
Twitch Interactive Games Inc.,TTWO,2022-01-27T17:35:00-05:00,Twitch Streamer Emotes,Animated GIFs for enhanced chat interactions
Niantic, Inc.,TTWO,2024-06-11T16:16:01-04:00,Harry Potter: Wizards Unite - Hogwarts Mystery 2.0,Enhanced mobile game
Verizon Communications Inc.,VZ,2024-05-16T16:11:01-04:00,5G Ultra Wideband Network Expansion,Expansion of 5G network to new markets and cities
Twitch Interactive, Inc.,TTWO,2024-02-08T16:15:34-05:00,Amazon Luna,A cloud gaming platform
Twitch Interactive, Inc.,TTWO,2024-01-08T16:35:02-05:00,Twitch x Discord Gaming Platform,Enhanced gaming platform integrating Twitch and Discord features
AT&T Inc.,TWO,2023-11-08T16:15:34-05:00,5G Home Internet Plus,Enhanced internet service
Twitch Interactive,TTWO,2023-08-08T16:14:33-04:00,Twitch Streamer Hub for Creators and Fans,A new platform to connect streamers and their audiences, enabling more seamless interactions.
TPR Inc.,TPR,2024-11-14T07:09:45-05:00,TPR-001 Neurostimulator,Portable, implantable neurostimulator device for treating neurological disorders.
TPR,TPR,2024-11-07T06:45:24-05:00,TPR-1000,New high-efficiency generator
TPR,TPR,2024-04-22T17:20:51-04:00,TPR-1000,High-Efficiency Gas Turbine
TRIPADVISOR LIMITED,TRIP,2024-04-15T09:50:43-04:00,TripAdvisor's New Hotel Review Features,Enhanced user-generated hotel reviews with photos and videos
Trillium Therapeutics plc,TRGP,2025-02-20T16:30:14-05:00,TG1012 Plus Sotorasib Combination Therapy,TG1012 and sotorasib combination therapy for patients with KRAS G12C mutation-positive NSCLC
TruGreen Landcare LLC,TRGP,2024-03-14T16:30:31-04:00,Turbo,commercial lawn care services for large commercial properties.
TRGP,TRGP,2024-02-28T16:17:02-05:00,Electric Vehicle Charging Station,Comprehensive EV charging infrastructure expansion at select retail partners
Target Corporation,TGT,2025-03-04T06:49:38-05:00,New Baby Line,A new line of baby essentials and clothing.
TELECOM SYSTEMS INC,TEL,2025-03-13T16:37:35-04:00,Advanced Wi-Fi 6 Solution,New Wi-Fi solution designed to increase network speeds and capacity.
TELADInc,TEL,2025-01-22T06:14:52-05:00,TL-D1000 5G Network Solution,Next-generation network solution for 5G connectivity and edge computing.
TELADAXY INC,TELX,2024-09-23T16:30:23-04:00,TELX-1000,Next-generation, AI-powered 5G router for enterprise networks.
TELADYNA HOLDINGS INC,TLYA,2024-06-12T16:17:03-04:00,Evolv Air Advanced Air Filtration System for Homes,Evolv Air is a smart air filtration system designed to remove pollutants and contaminants from indoor air.
TELAD SA,TEL,2024-04-24T18:41:49-04:00,"Telad SA Announces New Product ""Biovac"" for Animal Health",A new vaccine for the prevention of diseases in poultry and livestock.
Tesla, Inc.,TSLA,2024-04-24T06:11:23-04:00,Cybertruck Next Gen,Enhanced range and charging capabilities
TELADYNE INC,TEL,2024-03-18T16:15:30-04:00,TRUENT X1000 3D PRINTING SYSTEM,Next-generation 3D printing system for industrial applications
TELADynamics, Inc.,TEL,2024-03-14T06:08:33-04:00,Teladyn Plus,Enhanced software with added features.
TDY Technologies Inc.,TDY,2025-01-22T07:45:41-05:00,Quantum Computing Module,A high-performance computing module designed for quantum applications
TDY,TDY,2024-10-23T07:37:07-04:00,Nanovac 3.0,Portable, at-home cancer treatment system
TDY Medical Technologies Inc.,TDY,2024-01-25T16:31:11-05:00,PulsePoint XRT,Portable, point-of-care X-ray device
TDY Systems Inc.,TDY,2024-01-24T07:42:16-05:00,TDX 7000 Series Industrial Automation System,High-performance automation platform for manufacturing and process control.
Teva Pharmaceutical Industries Limited,TDY,2023-07-31T08:01:46-04:00,Vemurafenib Capsules (150mg) for the treatment of unresectable or metastatic melanoma with a BRAF V600E or V600K mutation,New indication approved by FDA
TDY Systems Inc.,TDY,2023-04-27T13:17:08-04:00,TDY-101,A new portable water purification system for emergency response situations.
TDY,TDY,2023-01-25T17:45:55-05:00,TDL 3000 Series of Advanced Dental Implants,Next-generation implants designed for improved osseointegration and reduced complications
Tesla, Inc.,TSLA,2025-02-27T07:01:24-05:00,Full Self-Driving Capability 3.0,Enhanced Autopilot technology with improved accuracy and reduced latency.
Tesla, Inc.,TSLA,2024-08-29T16:30:52-04:00,Full Self-Driving (FSD) Beta 2.0,Improved FSD software capabilities and increased testing on public roads
Teladoc Health Inc.,TDOC,2024-05-09T17:04:45-04:00,MyHealthGuide,Next-generation virtual healthcare platform for personalized health guidance
Tesla, Inc.,TSLA,2024-05-02T07:00:46-04:00,Full Self-Driving Capability (FSD) 2.0,Advanced driver-assistance system
Xyris Pharmaceuticals, Inc.,TFX,2023-11-02T07:00:59-04:00,TX-01, a treatment for Type 2 Diabetes,Novel orally administered small molecule targeting PPARgamma
Tesla, Inc.,TSLA,2023-08-31T16:04:40-04:00,Full Self-Driving Capability (FSD),Enhanced Autopilot technology for improved safety and convenience.
Tesla, Inc.,TSLA,2023-05-11T17:01:59-04:00,Full Self-Driving Capability (FSD) 10.0,Enhanced software update with improved Autopilot features
TechForge Inc.,TFX,2023-02-23T07:00:41-05:00,Nova 2.0 AI-Powered Virtual Assistant,Artificial intelligence-driven virtual assistant for smart home automation and enhanced customer experience.
TechForge Inc.,TFX,2022-07-28T07:00:45-04:00,Quantum AI Chip,Revolutionary AI chip for edge devices
Terakey Inc.,TER,2025-02-25T17:07:25-05:00,TERA,Non-invasive brain-computer interface for neurological disorders
TER Pharmaceuticals Inc.,TER,2023-05-16T16:01:06-04:00,Teriponocap One 2.5mg/1.25mL Solution for Intravenous Use,New treatment option for adults with moderate to severe primary pulmonary hypertension
Tesla, Inc.,TSLA,2024-10-02T09:06:34-04:00,Full Self-Driving (FSD) Beta 11.0,Next-generation Full Self-Driving technology with improved accuracy and responsiveness
Tesla, Inc.,TSLA,2024-04-23T16:09:55-04:00,Full Self-Driving Capability (FSD) Version 10.0,Enhanced Autopilot system with improved navigation and obstacle detection
Tesla Inc.,TSLA,2023-10-10T16:03:28-04:00,Full Self-Driving Capability (FSD) Beta Version 10.15,Improved Autopilot system with enhanced functionality and reduced latency.
Tesla, Inc.,TSLA,2023-07-20T17:17:28-04:00,Tesla Cybertruck RST Model with Improved Suspension and Wheels,Enhanced suspension for improved ride comfort and wheels with increased traction
Texas Instruments Incorporated,TXN,2024-02-20T17:29:56-05:00,TS1X0A7VLLGR,New 32-bit, single-power-supply, 3.5V, dual-channel, 12-bit, fixed-point digital signal processor (DSP) IC.
Transway Inc.,TXN,2024-02-08T13:59:32-05:00, TXN 1000 Wi-Fi 6 Enterprise Router,High-performance enterprise router with Wi-Fi 6 and Gigabit Ethernet ports.
Texas Instruments Incorporated,TXN,2023-04-25T16:03:36-04:00,Catalyst 32-bit ARM Cortex-A57 MCU,Low power, high performance 32-bit processor for IoT and automotive applications
